secuencia,timestamp_envio,timestamp_respuesta,exito,desde_cache,id_tarjeta,latencia_ms,codigo_http,segundo_relativo,experimento,error
1,2026-09-22T23:34:14.219Z,2026-09-22T23:34:14.423Z,1,0,1000,203.765,200,0.125,E1,
2,2026-09-22T23:34:14.344Z,2026-09-22T23:34:14.547Z,1,0,1001,202.975,200,0.251,E1,
3,2026-09-22T23:34:14.469Z,2026-09-22T23:34:14.671Z,1,0,1002,201.901,200,0.375,E1,
4,2026-09-22T23:34:14.593Z,2026-09-22T23:34:14.796Z,1,0,1003,202.177,200,0.500,E1,
5,2026-09-22T23:34:14.719Z,2026-09-22T23:34:14.920Z,1,0,1004,201.141,200,0.626,E1,
6,2026-09-22T23:34:14.844Z,2026-09-22T23:34:15.046Z,1,0,1005,202.009,200,0.751,E1,
7,2026-09-22T23:34:14.969Z,2026-09-22T23:34:15.176Z,1,0,1006,206.988,200,0.875,E1,
8,2026-09-22T23:34:15.094Z,2026-09-22T23:34:15.296Z,1,0,1007,201.908,200,1.001,E1,
9,2026-09-22T23:34:15.219Z,2026-09-22T23:34:15.421Z,1,0,1008,201.575,200,1.126,E1,
10,2026-09-22T23:34:15.344Z,2026-09-22T23:34:15.545Z,1,0,1009,201.566,200,1.250,E1,
11,2026-09-22T23:34:15.469Z,2026-09-22T23:34:15.671Z,1,0,1000,201.691,200,1.376,E1,
12,2026-09-22T23:34:15.594Z,2026-09-22T23:34:15.796Z,1,0,1001,201.990,200,1.500,E1,
13,2026-09-22T23:34:15.719Z,2026-09-22T23:34:15.920Z,1,0,1002,201.310,200,1.626,E1,
14,2026-09-22T23:34:15.844Z,2026-09-22T23:34:16.046Z,1,0,1003,201.877,200,1.751,E1,
15,2026-09-22T23:34:15.969Z,2026-09-22T23:34:16.171Z,1,0,1004,202.206,200,1.875,E1,
16,2026-09-22T23:34:16.094Z,2026-09-22T23:34:16.296Z,1,0,1005,202.306,200,2.000,E1,
17,2026-09-22T23:34:16.219Z,2026-09-22T23:34:16.421Z,1,0,1006,201.780,200,2.126,E1,
18,2026-09-22T23:34:16.344Z,2026-09-22T23:34:16.546Z,1,0,1007,201.351,200,2.251,E1,
19,2026-09-22T23:34:16.468Z,2026-09-22T23:34:16.671Z,1,0,1008,202.042,200,2.375,E1,
20,2026-09-22T23:34:16.594Z,2026-09-22T23:34:16.796Z,1,0,1009,202.142,200,2.501,E1,
21,2026-09-22T23:34:16.719Z,2026-09-22T23:34:16.921Z,1,0,1000,202.065,200,2.626,E1,
22,2026-09-22T23:34:16.844Z,2026-09-22T23:34:17.045Z,1,0,1001,201.326,200,2.750,E1,
23,2026-09-22T23:34:16.969Z,2026-09-22T23:34:17.172Z,1,0,1002,202.441,200,2.876,E1,
24,2026-09-22T23:34:17.094Z,2026-09-22T23:34:17.295Z,1,0,1003,201.287,200,3.001,E1,
25,2026-09-22T23:34:17.219Z,2026-09-22T23:34:17.420Z,1,0,1004,201.120,200,3.126,E1,
26,2026-09-22T23:34:17.344Z,2026-09-22T23:34:17.546Z,1,0,1005,201.931,200,3.251,E1,
27,2026-09-22T23:34:17.469Z,2026-09-22T23:34:17.671Z,1,0,1006,202.004,200,3.375,E1,
28,2026-09-22T23:34:17.594Z,2026-09-22T23:34:17.796Z,1,0,1007,202.108,200,3.501,E1,
