secuencia,timestamp_envio,timestamp_respuesta,exito,desde_cache,id_tarjeta,latencia_ms,codigo_http,segundo_relativo,experimento,error
1,2026-09-22T23:35:44.791Z,2026-09-22T23:35:44.994Z,1,0,1000,203.496,200,0.126,E2-run2,
2,2026-09-22T23:35:44.916Z,2026-09-22T23:35:45.119Z,1,0,1001,203.001,200,0.251,E2-run2,
3,2026-09-22T23:35:45.041Z,2026-09-22T23:35:45.243Z,1,0,1002,202.242,200,0.375,E2-run2,
4,2026-09-22T23:35:45.166Z,2026-09-22T23:35:45.368Z,1,0,1003,201.322,200,0.501,E2-run2,
5,2026-09-22T23:35:45.291Z,2026-09-22T23:35:45.493Z,1,0,1004,202.056,200,0.626,E2-run2,
6,2026-09-22T23:35:45.416Z,2026-09-22T23:35:45.618Z,1,0,1005,202.116,200,0.751,E2-run2,
7,2026-09-22T23:35:45.541Z,2026-09-22T23:35:45.743Z,1,0,1006,201.988,200,0.875,E2-run2,
8,2026-09-22T23:35:45.665Z,2026-09-22T23:35:45.867Z,1,0,1007,202.035,200,1.000,E2-run2,
9,2026-09-22T23:35:45.791Z,2026-09-22T23:35:45.993Z,1,0,1008,202.181,200,1.126,E2-run2,
10,2026-09-22T23:35:45.916Z,2026-09-22T23:35:46.118Z,1,0,1009,201.954,200,1.251,E2-run2,
11,2026-09-22T23:35:46.040Z,2026-09-22T23:35:46.041Z,1,1,1000,0.980,200,1.375,E2-run2,
12,2026-09-22T23:35:46.166Z,2026-09-22T23:35:46.167Z,1,1,1001,0.909,200,1.501,E2-run2,
13,2026-09-22T23:35:46.290Z,2026-09-22T23:35:46.291Z,1,1,1002,0.841,200,1.625,E2-run2,
14,2026-09-22T23:35:46.416Z,2026-09-22T23:35:46.417Z,1,1,1003,0.962,200,1.751,E2-run2,
15,2026-09-22T23:35:46.541Z,2026-09-22T23:35:46.542Z,1,1,1004,1.022,200,1.876,E2-run2,
16,2026-09-22T23:35:46.666Z,2026-09-22T23:35:46.667Z,1,1,1005,0.869,200,2.001,E2-run2,
17,2026-09-22T23:35:46.791Z,2026-09-22T23:35:46.792Z,1,1,1006,1.043,200,2.126,E2-run2,
18,2026-09-22T23:35:46.916Z,2026-09-22T23:35:46.917Z,1,1,1007,0.839,200,2.251,E2-run2,
19,2026-09-22T23:35:47.041Z,2026-09-22T23:35:47.042Z,1,1,1008,1.043,200,2.376,E2-run2,
20,2026-09-22T23:35:47.165Z,2026-09-22T23:35:47.167Z,1,1,1009,1.129,200,2.500,E2-run2,
21,2026-09-22T23:35:47.291Z,2026-09-22T23:35:47.292Z,1,1,1000,1.038,200,2.626,E2-run2,
22,2026-09-22T23:35:47.415Z,2026-09-22T23:35:47.416Z,1,1,1001,0.951,200,2.750,E2-run2,
