secuencia,timestamp_envio,timestamp_respuesta,exito,replica_id,latencia_ms,codigo_http,segundo_relativo,experimento,error
1,2026-09-08T04:04:58.802Z,2026-09-08T04:04:58.811Z,1,A,9.003,200,0.050,E0,
2,2026-09-08T04:04:58.852Z,2026-09-08T04:04:58.856Z,1,A,3.525,200,0.100,E0,
3,2026-09-08T04:04:58.902Z,2026-09-08T04:04:58.906Z,1,A,4.488,200,0.150,E0,
4,2026-09-08T04:04:58.953Z,2026-09-08T04:04:58.964Z,1,C,11.051,200,0.201,E0,
5,2026-09-08T04:04:59.002Z,2026-09-08T04:04:59.008Z,1,B,5.887,200,0.250,E0,
6,2026-09-08T04:04:59.052Z,2026-09-08T04:04:59.061Z,1,A,9.357,200,0.300,E0,
7,2026-09-08T04:04:59.103Z,2026-09-08T04:04:59.109Z,1,C,6.154,200,0.351,E0,
8,2026-09-08T04:04:59.152Z,2026-09-08T04:04:59.158Z,1,B,6.385,200,0.400,E0,
9,2026-09-08T04:04:59.202Z,2026-09-08T04:04:59.214Z,1,A,12.437,200,0.450,E0,
10,2026-09-08T04:04:59.253Z,2026-09-08T04:04:59.262Z,1,A,9.673,200,0.501,E0,
11,2026-09-08T04:04:59.303Z,2026-09-08T04:04:59.314Z,1,A,11.138,200,0.551,E0,
12,2026-09-08T04:04:59.352Z,2026-09-08T04:04:59.358Z,1,B,6.450,200,0.600,E0,
13,2026-09-08T04:04:59.403Z,2026-09-08T04:04:59.414Z,1,B,11.012,200,0.651,E0,
14,2026-09-08T04:04:59.452Z,2026-09-08T04:04:59.473Z,1,C,21.291,200,0.701,E0,
15,2026-09-08T04:04:59.503Z,2026-09-08T04:04:59.510Z,1,A,7.226,200,0.751,E0,
16,2026-09-08T04:04:59.552Z,2026-09-08T04:04:59.561Z,1,C,8.170,200,0.801,E0,
17,2026-09-08T04:04:59.603Z,2026-09-08T04:04:59.608Z,1,A,5.222,200,0.851,E0,
18,2026-09-08T04:04:59.652Z,2026-09-08T04:04:59.660Z,1,B,7.339,200,0.901,E0,
19,2026-09-08T04:04:59.703Z,2026-09-08T04:04:59.713Z,1,C,9.707,200,0.952,E0,
20,2026-09-08T04:04:59.752Z,2026-09-08T04:04:59.772Z,1,A,19.219,200,1.001,E0,
21,2026-09-08T04:04:59.802Z,2026-09-08T04:04:59.821Z,1,B,18.912,200,1.050,E0,
22,2026-09-08T04:04:59.852Z,2026-09-08T04:04:59.862Z,1,C,9.990,200,1.101,E0,
23,2026-09-08T04:04:59.902Z,2026-09-08T04:04:59.907Z,1,C,4.366,200,1.151,E0,
24,2026-09-08T04:04:59.952Z,2026-09-08T04:04:59.958Z,1,C,6.441,200,1.200,E0,
25,2026-09-08T04:05:00.002Z,2026-09-08T04:05:00.011Z,1,A,9.235,200,1.250,E0,
26,2026-09-08T04:05:00.052Z,2026-09-08T04:05:00.061Z,1,B,9.158,200,1.301,E0,
27,2026-09-08T04:05:00.102Z,2026-09-08T04:05:00.106Z,1,B,4.599,200,1.350,E0,
28,2026-09-08T04:05:00.153Z,2026-09-08T04:05:00.163Z,1,C,10.076,200,1.401,E0,
29,2026-09-08T04:05:00.202Z,2026-09-08T04:05:00.214Z,1,B,11.832,200,1.451,E0,
30,2026-09-08T04:05:00.252Z,2026-09-08T04:05:00.259Z,1,A,6.798,200,1.500,E0,
31,2026-09-08T04:05:00.302Z,2026-09-08T04:05:00.312Z,1,A,10.343,200,1.550,E0,
32,2026-09-08T04:05:00.353Z,2026-09-08T04:05:00.364Z,1,B,11.786,200,1.601,E0,
33,2026-09-08T04:05:00.403Z,2026-09-08T04:05:00.417Z,1,C,14.439,200,1.651,E0,
34,2026-09-08T04:05:00.452Z,2026-09-08T04:05:00.467Z,1,A,15.573,200,1.700,E0,
35,2026-09-08T04:05:00.503Z,2026-09-08T04:05:00.513Z,1,A,10.392,200,1.751,E0,
36,2026-09-08T04:05:00.552Z,2026-09-08T04:05:00.577Z,1,B,24.983,200,1.800,E0,
37,2026-09-08T04:05:00.602Z,2026-09-08T04:05:00.618Z,1,A,15.659,200,1.851,E0,
38,2026-09-08T04:05:00.652Z,2026-09-08T04:05:00.662Z,1,C,9.325,200,1.901,E0,
39,2026-09-08T04:05:00.702Z,2026-09-08T04:05:00.718Z,1,B,15.732,200,1.951,E0,
40,2026-09-08T04:05:00.752Z,2026-09-08T04:05:00.766Z,1,A,13.620,200,2.001,E0,
41,2026-09-08T04:05:00.802Z,2026-09-08T04:05:00.813Z,1,A,10.653,200,2.051,E0,
42,2026-09-08T04:05:00.852Z,2026-09-08T04:05:00.865Z,1,A,13.547,200,2.100,E0,
43,2026-09-08T04:05:00.903Z,2026-09-08T04:05:00.920Z,1,A,16.836,200,2.152,E0,
44,2026-09-08T04:05:00.953Z,2026-09-08T04:05:00.964Z,1,B,11.649,200,2.201,E0,
45,2026-09-08T04:05:01.002Z,2026-09-08T04:05:01.011Z,1,B,9.252,200,2.250,E0,
46,2026-09-08T04:05:01.053Z,2026-09-08T04:05:01.068Z,1,B,15.598,200,2.301,E0,
47,2026-09-08T04:05:01.102Z,2026-09-08T04:05:01.106Z,1,B,4.812,200,2.350,E0,
48,2026-09-08T04:05:01.152Z,2026-09-08T04:05:01.165Z,1,C,12.933,200,2.400,E0,
49,2026-09-08T04:05:01.203Z,2026-09-08T04:05:01.224Z,1,B,20.824,200,2.451,E0,
50,2026-09-08T04:05:01.252Z,2026-09-08T04:05:01.261Z,1,A,9.057,200,2.500,E0,
51,2026-09-08T04:05:01.302Z,2026-09-08T04:05:01.313Z,1,C,10.279,200,2.551,E0,
52,2026-09-08T04:05:01.353Z,2026-09-08T04:05:01.361Z,1,C,8.701,200,2.601,E0,
53,2026-09-08T04:05:01.402Z,2026-09-08T04:05:01.417Z,1,C,14.777,200,2.650,E0,
54,2026-09-08T04:05:01.453Z,2026-09-08T04:05:01.463Z,1,A,10.269,200,2.701,E0,
55,2026-09-08T04:05:01.502Z,2026-09-08T04:05:01.516Z,1,B,13.856,200,2.751,E0,
56,2026-09-08T04:05:01.552Z,2026-09-08T04:05:01.566Z,1,B,14.158,200,2.800,E0,
57,2026-09-08T04:05:01.602Z,2026-09-08T04:05:01.615Z,1,C,12.602,200,2.851,E0,
58,2026-09-08T04:05:01.653Z,2026-09-08T04:05:01.666Z,1,C,13.103,200,2.901,E0,
59,2026-09-08T04:05:01.702Z,2026-09-08T04:05:01.710Z,1,C,7.732,200,2.950,E0,
