secuencia,timestamp_envio,timestamp_respuesta,exito,replica_id,latencia_ms,codigo_http,segundo_relativo,experimento,error
1,2026-09-08T04:05:47.802Z,2026-09-08T04:05:47.814Z,1,C,12.157,200,0.050,E1,
2,2026-09-08T04:05:47.852Z,2026-09-08T04:05:47.863Z,1,B,11.052,200,0.100,E1,
3,2026-09-08T04:05:47.902Z,2026-09-08T04:05:47.910Z,1,B,7.708,200,0.150,E1,
4,2026-09-08T04:05:47.953Z,2026-09-08T04:05:47.972Z,1,B,19.917,200,0.201,E1,
5,2026-09-08T04:05:48.002Z,2026-09-08T04:05:48.014Z,1,A,11.725,200,0.250,E1,
6,2026-09-08T04:05:48.052Z,2026-09-08T04:05:48.071Z,1,A,18.470,200,0.301,E1,
7,2026-09-08T04:05:48.102Z,2026-09-08T04:05:48.108Z,1,C,5.908,200,0.351,E1,
8,2026-09-08T04:05:48.153Z,2026-09-08T04:05:48.167Z,1,A,14.239,200,0.401,E1,
9,2026-09-08T04:05:48.202Z,2026-09-08T04:05:48.221Z,1,C,19.242,200,0.450,E1,
10,2026-09-08T04:05:48.253Z,2026-09-08T04:05:48.262Z,1,C,9.313,200,0.501,E1,
11,2026-09-08T04:05:48.302Z,2026-09-08T04:05:48.309Z,1,B,7.110,200,0.551,E1,
12,2026-09-08T04:05:48.353Z,2026-09-08T04:05:48.360Z,1,A,7.574,200,0.601,E1,
13,2026-09-08T04:05:48.403Z,2026-09-08T04:05:48.416Z,1,B,13.038,200,0.651,E1,
14,2026-09-08T04:05:48.452Z,2026-09-08T04:05:48.462Z,1,C,10.129,200,0.700,E1,
15,2026-09-08T04:05:48.503Z,2026-09-08T04:05:48.514Z,1,A,11.387,200,0.751,E1,
16,2026-09-08T04:05:48.552Z,2026-09-08T04:05:48.559Z,1,A,6.872,200,0.801,E1,
17,2026-09-08T04:05:48.602Z,2026-09-08T04:05:48.621Z,1,A,18.375,200,0.851,E1,
18,2026-09-08T04:05:48.652Z,2026-09-08T04:05:48.664Z,1,C,12.115,200,0.900,E1,
19,2026-09-08T04:05:48.702Z,2026-09-08T04:05:48.710Z,1,B,8.034,200,0.951,E1,
20,2026-09-08T04:05:48.753Z,2026-09-08T04:05:48.765Z,1,B,12.657,200,1.001,E1,
21,2026-09-08T04:05:48.803Z,2026-09-08T04:05:48.813Z,1,A,10.325,200,1.051,E1,
22,2026-09-08T04:05:48.852Z,2026-09-08T04:05:48.858Z,1,A,5.300,200,1.101,E1,
23,2026-09-08T04:05:48.902Z,2026-09-08T04:05:48.909Z,1,C,7.149,200,1.150,E1,
24,2026-09-08T04:05:48.952Z,2026-09-08T04:05:48.973Z,1,C,20.804,200,1.201,E1,
25,2026-09-08T04:05:49.003Z,2026-09-08T04:05:49.020Z,1,B,17.276,200,1.251,E1,
26,2026-09-08T04:05:49.053Z,2026-09-08T04:05:49.069Z,1,C,16.134,200,1.301,E1,
27,2026-09-08T04:05:49.102Z,2026-09-08T04:05:49.113Z,1,B,10.430,200,1.351,E1,
28,2026-09-08T04:05:49.152Z,2026-09-08T04:05:49.159Z,1,B,6.536,200,1.400,E1,
29,2026-09-08T04:05:49.202Z,2026-09-08T04:05:49.212Z,1,C,10.048,200,1.451,E1,
30,2026-09-08T04:05:49.250Z,2026-09-08T04:05:49.263Z,1,B,12.989,200,1.501,E1,
31,2026-09-08T04:05:49.300Z,2026-09-08T04:05:49.310Z,1,C,10.196,200,1.551,E1,
32,2026-09-08T04:05:49.349Z,2026-09-08T04:05:49.355Z,1,B,5.362,200,1.600,E1,
33,2026-09-08T04:05:49.399Z,2026-09-08T04:05:49.409Z,1,A,9.729,200,1.650,E1,
